name,item_kind,serving_g,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_100g,role,cuisine,diet_tags,usda_description,image_url
2% Milk,component,100,50.0,3.3,4.8,2.0,0.0,5.1,47.0,side,intl,"balanced,wl,keto,diab","milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",https://live.staticflickr.com/3638/3284192111_fc4ca0d009_b.jpg
Blue Cheese,component,100,353.0,21.4,2.3,28.7,0.0,0.5,1146.0,side,intl,"balanced,hp,wg,keto,diab","cheese, blue",https://live.staticflickr.com/518/32575059692_2863cce110_b.jpg
Brie,component,100,334.0,20.8,0.4,27.7,0.0,0.4,629.0,side,intl,"balanced,hp,wg,keto,diab","cheese, brie",https://live.staticflickr.com/2101/2031523023_3749aae40e_b.jpg
Cheddar Cheese,component,100,403.0,22.9,3.4,33.3,0.0,0.5,653.0,side,intl,"balanced,hp,wg,keto,diab","cheese, cheddar (includes foods for usda's food distribution program)",https://live.staticflickr.com/6178/6266572782_5f8cc03850.jpg
Dark Chocolate (70-85%),component,25,598.0,7.8,45.9,42.6,10.9,24.0,20.0,side,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/3231/2955218665_2bfa8d2753_b.jpg
Date Molasses (3asal Eswed),component,20,290.0,1.5,73.0,0.1,0.0,66.0,40.0,side,egyptian,"balanced,wg",(manual entry),
Feta Cheese,component,100,265.0,14.2,3.9,21.5,0.0,0.0,1139.0,side,egyptian,"balanced,wg,keto,diab","cheese, feta",https://live.staticflickr.com/6070/6089391116_f42ff759f1_b.jpg
Gouda,component,100,356.0,24.9,2.2,27.4,0.0,2.2,819.0,side,intl,"balanced,hp,wg,keto,diab","cheese, gouda",https://live.staticflickr.com/65535/52292770381_ee2b70b466_b.jpg
Honey,component,20,304.0,0.3,82.4,0.0,0.2,82.1,4.0,side,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/2230/3535805377_807788e3e1.jpg
Hummus,component,100,177.0,4.9,20.1,8.6,4.0,0.3,242.0,side,egyptian,"balanced,wl,wg,diab","hummus, home prepared",https://live.staticflickr.com/5220/5384913459_f2bbbeb55c_b.jpg
Jam / Preserves,component,20,278.0,0.4,68.9,0.1,1.1,48.5,32.0,side,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/3879/15257066871_478abdb975_b.jpg
Kefir,component,100,43.0,3.8,4.8,1.0,0.0,4.6,40.0,side,intl,"balanced,wl,keto,diab","kefir, lowfat, plain, lifeway",https://live.staticflickr.com/5145/5646471044_9f1916bd72_b.jpg
Mozzarella,component,100,280.0,27.5,3.1,17.1,0.0,1.2,16.0,side,intl,"balanced,hp,wg,keto,diab","cheese, mozzarella, low sodium",https://live.staticflickr.com/8699/16356737613_55fa399e37_b.jpg
Parmesan,component,100,421.0,29.6,12.4,28.0,0.0,0.0,1750.0,side,intl,"balanced,hp,wg,diab","cheese, parmesan, grated",https://live.staticflickr.com/7248/7515840114_c163ccc29a_b.jpg
Plain Yogurt,component,100,61.0,3.5,4.7,3.2,0.0,4.7,46.0,side,intl,"balanced,wl,keto,diab","yogurt, plain, whole milk",https://live.staticflickr.com/5278/5905801849_a8bd2a3ef8_b.jpg
Provolone,component,100,351.0,25.6,2.1,26.6,0.0,0.6,727.0,side,intl,"balanced,hp,wg,keto,diab","cheese, provolone",https://live.staticflickr.com/6216/6391374457_02117f59a1_b.jpg
Ricotta,component,100,157.0,7.8,6.9,11.0,0.0,0.0,105.0,side,intl,"balanced,wl,wg,keto,diab","cheese, ricotta, whole milk",https://live.staticflickr.com/3169/3097935110_31c3a7bdc5_b.jpg
Skim Milk,component,100,35.0,3.4,4.8,0.2,0.0,4.8,52.0,side,intl,"balanced,wl,keto,diab","milk, fluid, nonfat, calcium fortified (fat free or skim)",https://live.staticflickr.com/5292/5484711716_8dace00183_b.jpg
Sour Cream,component,100,181.0,7.0,7.0,14.1,0.0,0.3,70.0,side,intl,"balanced,wl,wg,keto,diab","sour cream, reduced fat",https://live.staticflickr.com/1330/804816879_ffe1285a28_b.jpg
Swiss Cheese,component,100,393.0,27.0,1.4,31.0,0.0,0.0,187.0,side,intl,"balanced,hp,wg,keto,diab","cheese, swiss",https://live.staticflickr.com/2356/2504979711_756c0530ba_b.jpg
Whole Milk,component,100,61.0,3.5,4.7,3.2,0.0,4.7,46.0,side,intl,"balanced,wl,keto,diab","yogurt, plain, whole milk",https://live.staticflickr.com/4137/4922873299_b62d9746f7_b.jpg
Artichoke,component,100,47.0,3.3,10.5,0.2,5.4,1.0,94.0,veg,intl,"balanced,wl,diab","artichokes, (globe or french), raw",https://live.staticflickr.com/7382/9739749225_07e2349275_b.jpg
Arugula,component,100,25.0,2.6,3.6,0.7,1.6,2.0,27.0,veg,intl,"balanced,wl,keto,diab","arugula, raw",https://live.staticflickr.com/42/74928697_dcc0d87621_b.jpg
Asparagus,component,100,20.0,2.2,3.9,0.1,2.1,1.9,2.0,veg,intl,"balanced,wl,keto,diab","asparagus, raw",https://live.staticflickr.com/3064/2697879034_9e3cb7fc55_b.jpg
Basil,component,100,23.0,3.2,2.6,0.6,1.6,0.3,4.0,veg,intl,"balanced,wl,keto,diab","basil, fresh",https://live.staticflickr.com/1377/933244618_5f7c4c76d6_b.jpg
Beetroot,component,100,43.0,1.6,9.6,0.2,2.8,6.8,78.0,veg,intl,"balanced,wl,keto","beets, raw",https://live.staticflickr.com/21/94635795_180a8ec392_b.jpg
Bell Pepper,component,100,26.0,1.0,6.0,0.3,2.1,4.2,4.0,veg,intl,"balanced,wl,keto,diab","peppers, sweet, red, raw",https://live.staticflickr.com/3862/14771872333_5db889c539_b.jpg
Bok Choy,component,100,13.0,1.5,2.2,0.2,1.0,1.2,65.0,veg,intl,"balanced,wl,keto,diab","cabbage, chinese (pak-choi), raw",https://live.staticflickr.com/8082/8305262988_8c99799e6b_b.jpg
Broccoli,component,100,34.0,2.8,6.6,0.4,2.6,1.7,33.0,veg,intl,"balanced,wl,keto,diab","broccoli, raw",https://live.staticflickr.com/5055/5478500913_a364fe642e_b.jpg
Brussels Sprouts,component,100,43.0,3.4,9.0,0.3,3.8,2.2,25.0,veg,intl,"balanced,wl,keto,diab","brussels sprouts, raw",https://live.staticflickr.com/2422/3665926988_45b8f7f472_b.jpg
Butternut Squash,component,100,45.0,1.0,11.7,0.1,2.0,2.2,4.0,veg,intl,"balanced,wl,diab","squash, winter, butternut, raw",https://live.staticflickr.com/47/115462523_6fcf0cc1a1_b.jpg
Cabbage,component,100,25.0,1.3,5.8,0.1,2.5,3.2,18.0,veg,intl,"balanced,wl,keto,diab","cabbage, raw",https://live.staticflickr.com/8049/8076990249_12f30723b0_b.jpg
Carrot,component,100,41.0,0.9,9.6,0.2,2.8,4.7,69.0,veg,intl,"balanced,wl,keto,diab","carrots, raw",https://live.staticflickr.com/3034/2336528175_4087c9a948.jpg
Cauliflower,component,100,25.0,1.9,5.0,0.3,2.0,1.9,30.0,veg,intl,"balanced,wl,keto,diab","cauliflower, raw",https://live.staticflickr.com/7911/47109511002_91c9174f83_b.jpg
Celery,component,100,14.0,0.7,3.0,0.2,1.6,1.3,80.0,veg,intl,"balanced,wl,keto,diab","celery, raw",https://live.staticflickr.com/3923/14717930525_a49aaa5877_b.jpg
Chili Pepper,component,100,40.0,1.9,8.8,0.4,1.5,5.3,9.0,veg,intl,"balanced,wl,keto,diab","peppers, hot chili, red, raw",https://live.staticflickr.com/79/243875074_a9fc3c5f03.jpg
Cilantro,component,100,23.0,2.1,3.7,0.5,2.8,0.9,46.0,veg,egyptian,"balanced,wl,keto,diab","coriander (cilantro) leaves, raw",https://live.staticflickr.com/3143/2648343226_58f61f7ed3_b.jpg
Collard Greens,component,100,32.0,3.0,5.4,0.6,4.0,0.5,17.0,veg,intl,"balanced,wl,keto,diab","collards, raw",https://live.staticflickr.com/6223/6330172401_1a3cedcec8_b.jpg
Cucumber,component,100,15.0,0.6,3.6,0.1,0.5,1.7,2.0,veg,intl,"balanced,wl,keto,diab","cucumber, with peel, raw",https://live.staticflickr.com/1003/4730708709_fff4534973_b.jpg
Dill,component,100,43.0,3.5,7.0,1.1,2.1,0.0,61.0,veg,egyptian,"balanced,wl,keto,diab","dill weed, fresh",https://live.staticflickr.com/2644/4182290262_6ea1eea89f_b.jpg
Eggplant,component,100,25.0,1.0,5.9,0.2,3.0,3.5,2.0,veg,egyptian,"balanced,wl,keto,diab","eggplant, raw",https://live.staticflickr.com/3243/3061205576_0e0486ab15_b.jpg
Fennel,component,100,31.0,1.2,7.3,0.2,3.1,3.9,52.0,veg,intl,"balanced,wl,keto,diab","fennel, bulb, raw",https://live.staticflickr.com/171/444350238_cdcdb1d16e_b.jpg
Garlic,component,100,149.0,6.4,33.1,0.5,2.1,1.0,17.0,veg,intl,"balanced,wl,diab","garlic, raw",https://live.staticflickr.com/3169/2705556806_b263a7bbdb_b.jpg
Green Beans,component,100,33.0,2.3,6.4,0.5,3.4,3.2,3.0,veg,intl,"balanced,wl,keto,diab","beans, snap, green, microwaved",https://live.staticflickr.com/5560/14947740937_8d2a3f113b_b.jpg
Green Onion,component,100,27.0,1.0,5.7,0.5,1.8,3.9,15.0,veg,intl,"balanced,wl,keto,diab","onions, young green, tops only",https://live.staticflickr.com/7227/7231125574_5f0cf0e4ae_b.jpg
Green Peas,component,100,81.0,5.4,14.4,0.4,5.7,5.7,5.0,veg,intl,"balanced,wl,diab","peas, green, raw",https://live.staticflickr.com/2075/1785441107_00960b8b32_b.jpg
Jalapeno,component,100,29.0,0.9,6.5,0.4,2.8,4.1,3.0,veg,intl,"balanced,wl,keto,diab","peppers, jalapeno, raw",https://live.staticflickr.com/6031/6212607074_faec265563_b.jpg
Kale,component,100,35.0,2.9,4.4,1.5,4.1,1.0,53.0,veg,intl,"balanced,wl,keto,diab","kale, raw",https://live.staticflickr.com/3571/3559005937_2a3045ffdf_b.jpg
Leek,component,100,61.0,1.5,14.2,0.3,1.8,3.9,20.0,veg,intl,"balanced,wl,diab","leeks, (bulb and lower leaf-portion), raw",https://live.staticflickr.com/5210/5256124998_059ae504aa_b.jpg
Lettuce,component,100,15.0,1.4,2.9,0.2,1.3,0.8,28.0,veg,intl,"balanced,wl,keto,diab","lettuce, green leaf, raw",https://live.staticflickr.com/3272/3010140038_93630997ae_b.jpg
Mint,component,100,44.0,3.3,8.4,0.7,6.8,0.0,30.0,veg,egyptian,"balanced,wl,keto,diab","spearmint, fresh",https://live.staticflickr.com/3123/2336211411_8b19951bc7_b.jpg
Molokhia (Jute Leaves),component,100,34.0,4.6,5.8,0.2,0.0,0.0,8.0,veg,egyptian,"balanced,wl,keto,diab","jute, potherb, raw",https://live.staticflickr.com/4129/5044106847_f1fbff5734_b.jpg
Mushroom,component,100,22.0,3.1,3.3,0.3,1.0,2.0,5.0,veg,intl,"balanced,wl,keto,diab","mushrooms, white, raw",https://live.staticflickr.com/4147/5031368547_f04ec665a1_b.jpg
